X_Fe	X_Si	X_Ni	X_V	X_FeO	X_SiO2	X_NiO	X_V2O3	g (m/s)	P (GPa)	T (K)	Planet radius (km)	Impactor size (km)	Magma ocean depth (km)	ln(fO2)_IW
0.7743264451600186	0.08053379936285647	0.1451133161925688	2.6439284556098813e-05	0.09570858296031093	0.38845225386740234	0.0027435415718451	6.533330048325368e-05	0.03950362210678258	0.0005652956288394765	1853.7967694524664	174016.25639328838	34803.25127865768	94396.1760123795	-4.181371135804038
0.7742470874633215	0.08060601704957195	0.14512043163671362	2.646385039302861e-05	0.09574225756966223	0.38842719449980434	0.0027441888355376246	6.531980756842256e-05	0.03966553930985905	0.0005691565740600609	1853.7971571332937	174489.58323030258	34897.91664606052	94656.15337127661	-4.180462586387814
0.774168771246546	0.08067728726172552	0.14512745339532643	2.6488096402004995e-05	0.09577548468600021	0.3884024680728437	0.0027448275894738465	6.530649258829001e-05	0.03982812292455709	0.0005730439121694142	1853.7975474635386	174964.19241888286	34992.83848377657	94916.80124632189	-4.179566298557792
0.7740914827567871	0.08074762250924476	0.1451343827072027	2.6512026765593495e-05	0.09580827036521193	0.38837807008121883	0.002745457948322808	6.529335315670647e-05	0.03999137566832627	0.0005769578234477375	1853.7979404612895	175440.08749036145	35088.01749807229	95178.1218478606	-4.178682101280233
0.7740152084265396	0.08081703513302363	0.14514122079482508	2.6535645611630765e-05	0.09584062057763942	0.38835399608335563	0.0027460800250163203	6.528038692031818e-05	0.040155300269938264	0.0005808984894073971	1853.7983361447568	175917.27198509403	35183.45439701881	95440.11738778633	-4.177809826076183
0.77393993486655	0.08088553731205815	0.14514796886437858	2.6558957013196963e-05	0.09587254121141521	0.3883302416987866	0.00274669393100246	6.52675915584828e-05	0.04031989946953144	0.0005848660928012803	1853.798734532276	176395.74945247188	35279.14989049437	95702.79007985296	-4.176949306924586
0.7738656488659225	0.08095314106301388	0.14515462810607377	2.658196498993347e-05	0.09590403807254927	0.38830680260816025	0.002747299776146444	6.525496478248415e-05	0.040485176018655804	0.0005888608176314951	1853.7991356423074	176875.5234510201	35375.10469020402	95966.14213959241	-4.176100380252253
0.7737923373888044	0.08101985824337035	0.14516119969431698	2.6604673508303112e-05	0.09593511688654127	0.3882836745520129	0.002747897668799986	6.524250433530886e-05	0.04065113268031808	0.0005928828491577737	1853.7995394934374	177356.59754839443	35471.319509678884	96230.17578442034	-4.175262884883401
0.7737199875749994	0.08108570055048163	0.14516768478803613	2.6627086482908153e-05	0.09596578329823618	0.3882608533309606	0.002748487715683453	6.52302079908665e-05	0.0408177722290271	0.0005969323739061247	1853.7999461043796	177838.97532142643	35567.79506428529	96494.89323352698	-4.174436662036216
0.7736485867354637	0.081150679525975	0.14517408453078473	2.6649207776735638e-05	0.09599604287395977	0.3882383348040432	0.0027490700220174206	6.521807355377436e-05	0.04098509745083932	0.0006010095796773425	1853.8003554939748	178322.6603561131	35664.532071222624	96760.2967080507	-4.173621555258886
0.7735781223486274	0.08121480655928191	0.14518040005088886	2.6671041201816897e-05	0.096025901103279	0.3882161148873748	0.002749644691611836	6.52060988589236e-05	0.04115311114340446	0.0006051146555557983	1853.8007676811928	178807.65624767993	35761.53124953598	97026.38843120805	-4.172817410375852
0.7735085820599585	0.08127809288779662	0.1451866324617248	2.6692590520094037e-05	0.0960553633993122	0.38819418955396484	0.002750211826799866	6.519428177094535e-05	0.04132181611601146	0.0006092477919183002	1853.801182685133	179293.96660063267	35858.79332012653	97293.1706282459	-4.1720240754728835
0.7734399536813203	0.08134054959726177	0.14519278286197365	2.671385944418566e-05	0.09608443509912902	0.3881725548334644	0.0027507715283858814	6.518262018373233e-05	0.04149121518963467	0.0006134091804428229	1853.8016005250252	179781.59502876343	35956.31900575269	97560.64552640473	-4.171241400879949
0.7733722251845234	0.08140218762820138	0.1451988523356375	2.673485163773788e-05	0.09611312146673531	0.38815120680982085	0.002751323895872822	6.517111202016835e-05	0.04166131119698015	0.0006175990141173298	1853.8020212202296	180270.5451551593	36054.10903103186	97828.8153552073	-4.170469239085468
